Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion,compound,pos_score,neg_score,neu_score,Tipo_Sentimiento
 CocaCola owner after seeing CristianoRonaldo reaction ,imamvines,imamvines,Thu Jun 24 18:03:55 +0000 2021,0,70,"Mumbai, India",0.0,0.0,0.0,1.0,NEUTRO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Siomara ,MaradaS51636112,Thu Jun 24 17:53:59 +0000 2021,0,70,Belo Horizonte - Minas Gerias ,-0.0516,0.118,0.127,0.755,NEGATIVO
" CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’
",CAIR-Missouri,CairMissouri,Thu Jun 24 17:53:04 +0000 2021,0,7,Missouri ,-0.5719,0.0,0.209,0.791,NEGATIVO
When CocaCola is your favorite brand but youre also a fan Christiano Ronaldo CR ,LØRD JAIRUS,Jairus_Nat,Thu Jun 24 17:52:40 +0000 2021,1,0,Uganda,0.6059,0.292,0.0,0.708,POSITIVO
" CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’
",ScorpionGoddess  I’m Vaxxed and I’m Proud,DJSerQet,Thu Jun 24 17:41:36 +0000 2021,0,7,,-0.5719,0.0,0.209,0.791,NEGATIVO
 Check out  at the  EssenceFest Fam were getting ready for the  EssenceFest of Culture “Live L…,Sacha Positive w/a Side Eye,SachaSidney,Thu Jun 24 17:31:12 +0000 2021,0,1,DMV,0.3612,0.111,0.0,0.889,POSITIVO
" CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’
",Hussam Ayloush,HussamA,Thu Jun 24 17:30:27 +0000 2021,0,7,Los Angeles Area,-0.5719,0.0,0.209,0.791,NEGATIVO
Check out  at the  EssenceFest Fam were getting ready for the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola  Watch live on  June  and July  Coke BlackLove blackexcellence ad ,rolandsmartin,rolandsmartin,Thu Jun 24 17:30:25 +0000 2021,10,1,"Washington, D.C.",0.3612,0.063,0.0,0.937,POSITIVO
" CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’
",Ruksana Khan,Ruksana04385766,Thu Jun 24 17:28:50 +0000 2021,0,7,,-0.5719,0.0,0.209,0.791,NEGATIVO
" CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’
",nordin pumbaya,ranaoboy,Thu Jun 24 17:24:10 +0000 2021,0,7,Middle East,-0.5719,0.0,0.209,0.791,NEGATIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",theInvestor,PrakiSingh,Thu Jun 24 17:23:11 +0000 2021,0,32,भारत,0.0258,0.106,0.101,0.793,POSITIVO
" CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’
",hirak-kumar mukhopadhyay,hk_mook,Thu Jun 24 17:21:53 +0000 2021,0,7,Philadelphia/Delaware ,-0.5719,0.0,0.209,0.791,NEGATIVO
CAIR Hate Watch New  personalized label tool bans ‘BlackLivesMatter’ and ‘Palestine’CocaCola Israel blm FreePalestine SaveSheikhJarrah ,CAIR National,CAIRNational,Thu Jun 24 17:21:02 +0000 2021,6,7,"Washington, D.C.",-0.5719,0.0,0.171,0.829,NEGATIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Ahmet Albayrak,Aramzede,Thu Jun 24 17:17:33 +0000 2021,0,32,,0.0258,0.106,0.101,0.793,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Arun Kumar JD,ARUN__JD,Thu Jun 24 17:16:13 +0000 2021,0,70,"Bathinda, India",-0.0516,0.118,0.127,0.755,NEGATIVO
Celebrities rock the markets Weve seen  with Bitcoin  with GameStop and now CristianoRonaldo with CocaColaCan this make investors profit or will it continue to inflict losses on those caught on the wrong sideMore at  ,ZuluTrade,ZuluTrade,Thu Jun 24 17:14:31 +0000 2021,1,0,Global,-0.4926,0.063,0.132,0.804,NEGATIVO
Euro officials will STOP placing bottles of Heineken in front of Muslim players after devout Man United star PaulPogba moved the sponsors drink out of the way following CristianoRonaldos CocaCola snubSports News,Shinil Payamal,shinils,Thu Jun 24 17:11:22 +0000 2021,0,0,"Pune, India",-0.4466,0.071,0.145,0.784,NEGATIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Andrey Sarmento,AndreySarmento,Thu Jun 24 17:09:29 +0000 2021,0,32,"Somewhere in Paraná, Brazil",0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…", अजीत অজীত Ajit,the_ajitsingh,Thu Jun 24 16:55:19 +0000 2021,0,32,Delhi NCR,0.0258,0.106,0.101,0.793,POSITIVO
 After Cristiano removed Coco Cola bottles  Official Sponsors for Euro  off his table Coco Colas share price fell drastica…,The Barker༒,flavourozafrica,Thu Jun 24 16:52:28 +0000 2021,0,1,,0.296,0.099,0.0,0.901,POSITIVO
Had to XD codelyoko Cocacola ,Rrickard,Rrickard_Soul,Thu Jun 24 16:51:30 +0000 2021,0,0,,0.6739,0.476,0.0,0.524,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Manuel Martín,mamorpla,Thu Jun 24 16:50:47 +0000 2021,0,32,Canarias,0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",AnitaBarrett@waspiwoman,AnitaBa50700688,Thu Jun 24 16:48:27 +0000 2021,0,32,,0.0258,0.106,0.101,0.793,POSITIVO
" iPhone 
 gig
Factory unlocked 
BH
Available As Seen 
Ghc  Only Pls Retweet 
CocaCola WillSmith Ramos http…",MJ,Mister_Donkor,Thu Jun 24 16:43:51 +0000 2021,0,5,"Accra, Ghana",0.0772,0.064,0.0,0.936,POSITIVO
 Fam were getting ready for the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola Watc…,StevieSTILLSaid,2020istrash2020,Thu Jun 24 16:43:01 +0000 2021,0,3,"Texas, USA",0.3612,0.116,0.0,0.884,POSITIVO
 Fam were getting ready for the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola Watc…,JustRead,jockey4books,Thu Jun 24 16:38:29 +0000 2021,0,3,A-T-L,0.3612,0.116,0.0,0.884,POSITIVO
 Fam were getting ready for the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola Watc…,LittleCrackerSlayer7,LittleSlayer7,Thu Jun 24 16:36:22 +0000 2021,0,3,"Charlotte, NC",0.3612,0.116,0.0,0.884,POSITIVO
So good I had to share Check out all the items Im loving on  poshmark fashion style shopmycloset cocacola bmakowsky covercover  ,farvajafri,FarvaJafri,Thu Jun 24 16:33:21 +0000 2021,0,0,"New York, USA",0.862,0.324,0.0,0.676,POSITIVO
Fam were getting ready for the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola Watch live on  June  and July  Check out this   throwback with  Coke BlackLove blackexcellence ad ,rolandsmartin,rolandsmartin,Thu Jun 24 16:32:52 +0000 2021,21,3,"Washington, D.C.",0.3612,0.062,0.0,0.938,POSITIVO
So good I had to share Check out all the items Im loving on  poshmark fashion style shopmycloset scotchsoda cocacola  ,FASHIONDEITY,FASHION_DEITY,Thu Jun 24 16:32:21 +0000 2021,0,0, NYC| TX | LA | ATL | PA,0.862,0.335,0.0,0.665,POSITIVO
Here’s a new flyer design I made cocacola coke branding DigitalMarketing    CA  NG  ,dehvvd,ODOGWUFILMMAKER,Thu Jun 24 16:31:39 +0000 2021,3,1,,0.0,0.0,0.0,1.0,NEUTRO
Whats your favorite beverage favoritedrink beverage cocacola,CircadiaMusicOH,CircadiaO,Thu Jun 24 16:26:07 +0000 2021,0,0,"Ravenna, OH",0.4588,0.333,0.0,0.667,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…","Родрик. если ты это читаешь, ты дурак",rdiasdevivar,Thu Jun 24 16:25:59 +0000 2021,0,32,Right behind you...,0.0258,0.106,0.101,0.793,POSITIVO
Shelias Collectibles Refreshing Delivery CocaCola Truck  Model T Wooden  eBay CocaCola Tweeted via  ,Darryl Smith,SmittyD9199,Thu Jun 24 16:25:06 +0000 2021,0,0,"Buffalo, NY",0.0,0.0,0.0,1.0,NEUTRO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",khursed ansari خورشید انصاری,im_khursed,Thu Jun 24 16:22:08 +0000 2021,0,32,Birgunj Nepal,0.0258,0.106,0.101,0.793,POSITIVO
  We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our ne…,Ingrid Harris,gladbutterfly,Thu Jun 24 16:21:27 +0000 2021,0,1,"Hamilton, Ontario",0.0772,0.058,0.0,0.942,POSITIVO
 CristianoRonaldo had a bottle of CocaCola thrown at him as he celebrated a goal at Euro as fans keep trolling his disl…,Milind Singh,Milindsingh19,Thu Jun 24 16:18:12 +0000 2021,0,2,India,0.5719,0.15,0.0,0.85,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",LeatherSnipeBob,bob_snipe,Thu Jun 24 16:10:07 +0000 2021,0,32,"Ohio, USA",0.0258,0.106,0.101,0.793,POSITIVO
" junefaizabadprotest
CocaCola Are coming for lahore protester this is come from  ",Rafi Ullah,RafiUll95455541,Thu Jun 24 16:08:27 +0000 2021,0,22,,0.0,0.0,0.0,1.0,NEUTRO
Cola or Pepsi  Both in store now  cocacola pepsi ,BARNEY RUBBLES,rubblesbarney,Thu Jun 24 16:04:30 +0000 2021,0,0,Liverpool,0.0,0.0,0.0,1.0,NEUTRO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Abhijeet Shejwal,AbhijeetShejwaI,Thu Jun 24 16:04:06 +0000 2021,0,32,"Jalna Maharashtra, India",0.0258,0.106,0.101,0.793,POSITIVO
   at the   Were getting ready for the  EssenceFest of Culture “Live Loud” Virtual Exp…,Sienna Chestnut,seeyabeU,Thu Jun 24 15:51:29 +0000 2021,0,7,Soul Power. Say It Louder!,0.3612,0.116,0.0,0.884,POSITIVO
" Time to settle this debate️Like for CocaCola 
Retweet for Water ",Hassan Jamil,hazsans,Thu Jun 24 15:50:41 +0000 2021,0,2180,"Dublin City, Ireland",0.0,0.0,0.0,1.0,NEUTRO
Just a few of our favourites from the range Shop officially licenced tshirts exclusively at  summer happy selfie summertees coke cocacola fanta fantawave ,Merch® Online,MerchOnline1,Thu Jun 24 15:50:04 +0000 2021,0,0,"Leicester, United Kingdom",0.0,0.0,0.0,1.0,NEUTRO
"studio Click Link To Watch Now 
️
Footballer CristianoRonaldo  Goal CocaCola Out  UefaEuro Ft …",Arjun Kumar,ArjunKu59740648,Thu Jun 24 15:43:08 +0000 2021,0,17,,0.0,0.0,0.0,1.0,NEUTRO
What the fk is in my  GB cocacola  ,Nichola-Louise ,nicholalouise10,Thu Jun 24 15:42:55 +0000 2021,0,0,"Cardiff, Wales",0.0,0.0,0.0,1.0,NEUTRO
"Black Lives Matter is blocked but White Lives Matter isnt On the rainbow label for pride month you cant write Gay Pride but you can write I hate gays Hitler and Nazi are banned but I am Hitler or I am a Nazi arent CocaCola
",RJH    ,RONTHINKblog,Thu Jun 24 15:38:00 +0000 2021,0,0,"Boston, MA",-0.8721,0.075,0.233,0.691,NEGATIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",dralaali,dralaali,Thu Jun 24 15:36:03 +0000 2021,0,32,Planet Earth,0.0258,0.106,0.101,0.793,POSITIVO
 After CristianoRonaldo snub CocaCola lost  billion ExpressBiz,khanjanoza,khanjanoza,Thu Jun 24 15:14:36 +0000 2021,0,434,"Bhavnagar, India",-0.6249,0.0,0.362,0.638,NEGATIVO
" junefaizabadprotest
CocaCola Are coming for lahore protester this is come from  ",Nouman Ahmed,NoumanAhmed2717,Thu Jun 24 15:14:34 +0000 2021,0,22,,0.0,0.0,0.0,1.0,NEUTRO
Fans throw bottle of CocaCola at Ronaldo PHOTO   Sport  All about sports ,Armenian News-NEWSam,NEWSam_English,Thu Jun 24 15:12:39 +0000 2021,0,0,Armenia,0.0,0.0,0.0,1.0,NEUTRO
 CristianoRonaldo had a bottle of CocaCola thrown at him as he celebrated a goal at Euro as fans keep trolling his disl…,ShubhamKumar,Shubham50544239,Thu Jun 24 15:12:35 +0000 2021,0,2,"Khanna, India",0.5719,0.15,0.0,0.85,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Ronald van Zon,RovanZon,Thu Jun 24 15:09:26 +0000 2021,0,32,Haarlem,0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Ralston Champagnie,RalstonCh,Thu Jun 24 15:01:49 +0000 2021,0,32,Earth via Louisiana,0.0258,0.106,0.101,0.793,POSITIVO
CristianoRonaldo had a bottle of CocaCola thrown at him as he celebrated a goal at Euro as fans keep trolling his dislike of the drink  ,Business Insider India,BiIndia,Thu Jun 24 15:00:01 +0000 2021,26,2,"New Delhi, India",0.2732,0.126,0.089,0.785,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Puja ,pujabahuguna,Thu Jun 24 14:59:33 +0000 2021,0,32,India,0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Yasin Fraser,FraserYasin,Thu Jun 24 14:59:13 +0000 2021,0,32,The whole world is my home,0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Green Planet,Elizabeth_Ruler,Thu Jun 24 14:58:53 +0000 2021,0,32,"Brooklyn, NY",0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",RUHUL MUKARRAM,MukarramRuhul,Thu Jun 24 14:58:00 +0000 2021,0,32,"Katihar, India",0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Sara Sanchez,sara_s_2020,Thu Jun 24 14:57:55 +0000 2021,0,32,"Bristol, England",0.0258,0.106,0.101,0.793,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Mark Trudgeon,mark_trudgeon,Thu Jun 24 14:57:31 +0000 2021,0,70,Southampton,-0.0516,0.118,0.127,0.755,NEGATIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Dale Cooper,oldboy681,Thu Jun 24 14:57:12 +0000 2021,0,32,,0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Gökhan Şengelir,GSengelir,Thu Jun 24 14:56:33 +0000 2021,0,32,"İzmir, Türkiye",0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",GaryBeighton7 ,GaryBeighton7,Thu Jun 24 14:55:23 +0000 2021,0,32,"East, England",0.0258,0.106,0.101,0.793,POSITIVO
"CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Tiredearth ",Rebecca Herbert,RebeccaH2030,Thu Jun 24 14:54:30 +0000 2021,119,32,Global,0.0258,0.111,0.106,0.783,POSITIVO
UEFA really went and added giant bottles and a podium for them EURO CocaCola heineken ,Belle,itsmeBelle06,Thu Jun 24 14:52:35 +0000 2021,0,0,,0.0,0.0,0.0,1.0,NEUTRO
"Although CocaCola CCEPtried to block some slurs and trademarks social media users were quick to discover that the companys restrictions were hardly comprehensive — and in some cases blocked inoffensive terms
CocaCola BLM
",Culture Vulture,culturev2021,Thu Jun 24 14:52:24 +0000 2021,0,0,,-0.5095,0.047,0.136,0.817,NEGATIVO
 Finally CocaCola has found its place back still waiting for INDIA to find its no  place again ,નિધિ,HindustaniBen,Thu Jun 24 14:51:24 +0000 2021,0,20,"Jharkhand, India",-0.296,0.0,0.104,0.896,NEGATIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:41:49 +0000 2021,1,0,,0.0772,0.04,0.0,0.96,POSITIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:40:32 +0000 2021,1,0,,0.0772,0.04,0.0,0.96,POSITIVO
  emaina  kenya Plastics      We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:39:13 +0000 2021,1,0,,0.0772,0.031,0.0,0.969,POSITIVO
   and her brother on the ESSENCEFest stage Fam were getting ready for the  EssenceFest of Culture “L…,will man,teamtasia123,Thu Jun 24 14:39:10 +0000 2021,0,8,,0.3612,0.111,0.0,0.889,POSITIVO
"Should companies be involved in politics
CocaCola ",Bob (Robert),Robertt0000,Thu Jun 24 14:39:03 +0000 2021,0,0,Manchester,0.0,0.0,0.0,1.0,NEUTRO
benie We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:38:56 +0000 2021,1,1,,0.0772,0.04,0.0,0.96,POSITIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:38:30 +0000 2021,1,1,,0.0772,0.04,0.0,0.96,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,RobertCalifornia,LA_Robert420,Thu Jun 24 14:34:13 +0000 2021,0,70,,-0.0516,0.118,0.127,0.755,NEGATIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Neil Wilson,neil_oiwf,Thu Jun 24 14:33:20 +0000 2021,0,70,,-0.0516,0.118,0.127,0.755,NEGATIVO
CocaCola nestle Pepsi don’t care about the health of our kids or the planet They flog sugar and plastic and use childslave labor The best thing we can do for our kids public health and the planet is to boycott these corporations Tiredearth ,Neil Wilson,neil_oiwf,Thu Jun 24 14:33:13 +0000 2021,0,0,,0.7269,0.146,0.045,0.809,POSITIVO
  We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:33:02 +0000 2021,0,0,,0.0772,0.039,0.0,0.961,POSITIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:32:52 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:32:31 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
  We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:32:11 +0000 2021,0,0,,0.0772,0.039,0.0,0.961,POSITIVO
    We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:31:50 +0000 2021,0,0,,0.0772,0.037,0.0,0.963,POSITIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:31:33 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
sharma  We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:30:30 +0000 2021,0,0,,0.0772,0.039,0.0,0.961,POSITIVO
The acre plant site in Plachimada Kerala was infamous for the anti Coca Cola struggle between covid Kerala CocaCola,The Logical Indian,LogicalIndians,Thu Jun 24 14:30:18 +0000 2021,1,0,India,-0.5574,0.0,0.195,0.805,NEGATIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:30:15 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
Scarlett We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:29:55 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
"Going to give this  flavor a try again 
CocaCola Coke ",{~CaptainVG313~},CaptainVG313,Thu Jun 24 14:28:50 +0000 2021,0,0,United States of America,0.0,0.0,0.0,1.0,NEUTRO
  We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:28:29 +0000 2021,0,0,,0.0772,0.039,0.0,0.961,POSITIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:28:07 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
The TheForum has announced the appointment of two new cochairs to its organisation Daniel Zhang chairman and CEO of  and James Quincey chairman and CEO of The  Company CGFSummit CocaCola Alibaba retail consumergoods,European Supermarket Magazine,esm_magazine,Thu Jun 24 14:27:29 +0000 2021,0,0,Europe,0.0,0.0,0.0,1.0,NEUTRO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Menstrual Daddy ( alfredabuka9@gmail.com),AbukaAlfred,Thu Jun 24 14:26:02 +0000 2021,0,70,kenya,-0.0516,0.118,0.127,0.755,NEGATIVO
 We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campaign here capitalatrisk cocacola plasticpollution microplastic plasticfree recycle sustainability stocks investment,tulipshare,tulipshare,Thu Jun 24 14:25:15 +0000 2021,0,0,,0.0772,0.04,0.0,0.96,POSITIVO
"Impecable
Cristiano Water Agua CocaCola IKEA ",,PortugalHernan,Thu Jun 24 14:25:11 +0000 2021,0,0,Bs As - Mexico - Barcelona,0.0,0.0,0.0,1.0,NEUTRO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Youth Strike 4 Climate Kenya,ClimateStrikeKE,Thu Jun 24 14:20:49 +0000 2021,0,70,"Kenya, Africa",-0.0516,0.118,0.127,0.755,NEGATIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,R Ware(hates veganism & loves Greta Thunberg),RWare7,Thu Jun 24 14:20:27 +0000 2021,0,70,"Virginia, United States",-0.0516,0.118,0.127,0.755,NEGATIVO
June  Ronaldo pushed a CocaCola bottle away from himJune  Ronaldo dodged a CocaCola bottle flying at himCristiano Ronaldo  CocaColaGo betting  CR EURO CocaCola ,Megapari,officalmegapari,Thu Jun 24 14:06:32 +0000 2021,0,0,,0.0,0.0,0.0,1.0,NEUTRO
 Finally CocaCola has found its place back still waiting for INDIA to find its no  place again ,Naman,mr_nk_pawar,Thu Jun 24 14:00:19 +0000 2021,0,20,चाँद पे है अपुन,-0.296,0.0,0.104,0.896,NEGATIVO
raccoon PS Slaying Demons Bad Memory Follow your favourite Raccoon  DemonSouls  twitch NextGen…,Souls Borne Boss Bot,BorneBot,Thu Jun 24 13:56:21 +0000 2021,0,1,Blighttown,-0.6876,0.0,0.25,0.75,NEGATIVO
CocaCola Beyond Meat The Very Good Food Company  Green Food Blue Planet Vegan CocaCola BeyondMeat TheVeryGoodFoodCompany  ,news.financial,wearenews1,Thu Jun 24 13:54:43 +0000 2021,0,0,,0.54,0.17,0.0,0.83,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Extinction Rebellion Sri Lanka,XRebellionLK,Thu Jun 24 13:48:44 +0000 2021,0,70,Sri Lanka,-0.0516,0.118,0.127,0.755,NEGATIVO
 Ronaldo moves away CocaCola and promote drinking water Compare this with our Bollywood stars who give sermons on persona…,Sanwy Chawang,chawangsanwy,Thu Jun 24 13:39:57 +0000 2021,0,1972,,0.3818,0.115,0.0,0.885,POSITIVO
"CristianoRonaldo removed cocacola bottle from table Company given free water bottles with cocacola 
CocaCola ",Cristiano Ronaldo 7,Cristiano__R_7,Thu Jun 24 13:35:22 +0000 2021,1,0,,0.5106,0.18,0.0,0.82,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Tuba elver,TubaElver,Thu Jun 24 13:28:32 +0000 2021,0,70,,-0.0516,0.118,0.127,0.755,NEGATIVO
CocaCola strikes back  Ronaldo POR ,Tudor,CosmaTud0r,Thu Jun 24 13:26:21 +0000 2021,0,0,,-0.3612,0.0,0.333,0.667,NEGATIVO
Superstar influencers move the markets   copytrading socialtrading  algotrading  StockTrading  CocaColaRonaldo   Stocks  US StockMarket Buy Sell SwingTrading portfolio management  KO CristianoRonaldo  cocacola EURO,ZuluTraders,ZuluTradersDesk,Thu Jun 24 13:24:47 +0000 2021,0,0,,0.0,0.0,0.0,1.0,NEUTRO
"studio Click Link To Watch Now 
️
Footballer CristianoRonaldo  Goal CocaCola Out  UefaEuro Ft …",AMRITPAL KUMAR,kumar_amritpal,Thu Jun 24 13:18:31 +0000 2021,0,17,"Patna, India",0.0,0.0,0.0,1.0,NEUTRO
Hey UKI The only correct answer to is Pepsi Max ok when ordering a Pepsi is No its not ok Id prefer a regular cocacola but seeing as you only sell the nasty Pepsi Id at least like a real Pepsi and not the crap that is PepsiMax  So no its not ok,Kenn,KennPFC,Thu Jun 24 13:13:40 +0000 2021,0,0,"Tier 4, South East, England",0.0738,0.189,0.153,0.659,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Tynkarz Maciej,TynkarzM,Thu Jun 24 13:06:07 +0000 2021,0,70,Nowy Targ,-0.0516,0.118,0.127,0.755,NEGATIVO
 So why are none of the ‘influencers’ speaking on what  did with the  bottlesThinkCristianoRonaldo …,Rohit fed747,rohitfedujwar,Thu Jun 24 12:59:59 +0000 2021,0,21,india,0.0,0.0,0.0,1.0,NEUTRO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Atul Temurnikar,AtulTkar,Thu Jun 24 12:58:00 +0000 2021,0,70,🌎,-0.0516,0.118,0.127,0.755,NEGATIVO
